Name,Address,District,Cuisine Type,Restaurant Type,Price Range,Smile Score,Cry Score,Promotions,Contact,Opening Hours,URL
M Square,"Shop A1, LG/F, WM Hotel Hong Kong, Vignette Collection, 28 Wai Man Road, Sai Kung",Sai Kung,Western,$201-400,N/A,503,3,mediaItemThumbnail,23673333,12:00 - 22:00,https://www.openrice.com/en/hongkong/r-m-square-sai-kung-western-r755523
Café@WM,"LG/F, WM Hotel Hong Kong, Vignette Collection, 28 Wai Man Road, Sai Kung",Sai Kung,International,Buffet,$401-800,99,8,mediaItemThumbnail,21966388,07:00 - 21:30,https://www.openrice.com/en/hongkong/r-cafe-wm-sai-kung-international-buffet-r720586
Bakso,"Shop B3, LG/F, WM Hotel, 28 Wai Man Road, Sai Kung",Sai Kung,Indonesian,Theme Restaurant,$101-200,2,0,N/A,27203168,12:00 - 21:30,https://www.openrice.com/en/hongkong/r-bakso-sai-kung-indonesian-r886285
HUNTER,"Shop C2B, LG/F, WM Hotel Hong Kong, Vignette Collection, 28 Wai Man Road, Sai Kung",Sai Kung,Western,Pet Friendly,$101-200,1,0,mediaItemThumbnail,65072226,11:00 - 20:00,https://www.openrice.com/en/hongkong/r-hunter-sai-kung-western-r876602
ASOK THAI CAKE,"Shop 121, 1/F, Central Market, 93 Queen's Road Central",Central,Thai,Cake,$51-100,263,1,mediaItemThumbnail,60152877,11:30 - 20:00,https://www.openrice.com/en/hongkong/r-asok-thai-cake-central-thai-cake-r800884
Pho Nho,"Shop G16, G/F, Central Market, 93 Queen's Road Central",Central,Vietnamese,Noodles/Rice Noodles,$51-100,108,4,mediaItemThumbnail,N/A,11:00 - 22:00,https://www.openrice.com/en/hongkong/r-pho-nho-central-vietnamese-noodles-rice-noodles-r789649
Chew Taiwan,"Shop G18, G/F, Central Market, 93 Queen's Road Central",Central,Taiwan,$51-100,N/A,92,10,N/A,N/A,N/A,https://www.openrice.com/en/hongkong/r-chew-taiwan-central-taiwan-r797067
Pulau,"Shop G19, G/F, Central Market, 93 Queen's Road Central",Central,Singaporean,$101-200,N/A,115,2,mediaItemThumbnail,N/A,11:00 - 22:00,https://www.openrice.com/en/hongkong/r-pulau-central-singaporean-r720397
Attap,"Shop G17, G/F, Central Market, 93 Queen's Road Central",Central,Singaporean,$51-100,N/A,58,1,N/A,N/A,N/A,https://www.openrice.com/en/hongkong/r-attap-central-singaporean-r727866
One O One,"Shop 242C, 2/F, Central Market, 93 Queen’s Road Central",Central,Taiwan,Taiwanese Drink,Below $50,92,0,mediaItemThumbnail,68027101,12:00 - 20:45,https://www.openrice.com/en/hongkong/r-one-o-one-central-taiwan-juice-r848140
Mammy Pancake,"Shop 242B, 2/F, Central Market, 93 Queen's Road Central",Central,Hong Kong Style,Snack Shop & Deli,Below $50,50,3,N/A,N/A,11:00 - 21:00,https://www.openrice.com/en/hongkong/r-mammy-pancake-central-hong-kong-style-r720467
Potato Corner,"Shop 246D, 2/F, Central Market, 93 Queen's Road Central",Central,Western,Snack Shop & Deli,Below $50,30,0,mediaItemThumbnail,N/A,N/A,https://www.openrice.com/en/hongkong/r-potato-corner-central-western-r876299
Gu Liang Cai,"Shop 124-125, 1/F, Central Market, 93 Queen's Road Central",Central,Chiu Chow,$101-200,N/A,24,2,mediaItemThumbnail,21171919,11:30 - 16:3017:30 - 23:00,https://www.openrice.com/en/hongkong/r-gu-liang-cai-central-chiu-chow-r818391
Naruse's Unagi,"Shop 246C, 2/F, Central Market, 93 Queen's Road Central",Central,Japanese,Takeaway,$101-200,32,0,N/A,60183750,10:00 - 20:30,https://www.openrice.com/en/hongkong/r-naruses-unagi-central-japanese-r880998
Hello Molly Gelato,"Shop 241, 2/F, Central Market, 93 Queen's Road Central",Central,Italian,Ice Cream/yogurt,Below $50,21,0,mediaItemThumbnail,59632289,12:00 - 22:00,https://www.openrice.com/en/hongkong/r-hello-molly-gelato-central-italian-ice-cream-yogurt-r802712
Bluemin,"Shop 201-204, 2/F, Central Market, 93 Queen's Road Central",Central,Shanxi (Jin),Noodles/Rice Noodles,$51-100,42,12,mediaItemThumbnail,31882098,11:00 - 22:00,https://www.openrice.com/en/hongkong/r-bluemin-central-shanxi-jin-noodles-rice-noodles-r793761
CHEF’s CUTs,"Shop G01-G03, G/F, Central Market, 93 Queen's Road",Central,Western,Steak House,$201-400,31,2,mediaItemThumbnail,95744254,11:30 - 22:00,https://www.openrice.com/en/hongkong/r-chef-s-cuts-central-western-r763229
Uogashi Nihonichi (Central Market),"Shop G12, G/F, Central Market, 93 Queen's Road Central",Central,Japanese,$101-200,N/A,17,0,N/A,55967982,12:00 - 21:30,https://www.openrice.com/en/hongkong/r-uogashi-nihonichi-central-japanese-r841744
Rhino (Central Market),"Shop 242A, 2/F, Central Market, 93 Queen's Road Central",Central,Taiwan,Taiwanese Drink,Below $50,18,16,"mediaItemThumbnail, ",97178004,11:30 - 19:45,https://www.openrice.com/en/hongkong/r-rhino-central-taiwan-taiwanese-drink-r722925
