Name,Address,Food Type,Price Range,Smile Score,Cry Score,Promotions,Contact,Opening Hours,URL
Nakitora Ramen,Nakitora Ramen,Tseung Kwan O / Japanese / Ramen / $51-100,$51-100,209,1,Dine and earn miles at this Cathay partner restaurant !,N/A,12:00 - 22:00,https://www.openrice.com/en/hongkong/r-nakitora-ramen-tseung-kwan-o-japanese-ramen-r755784
Nom Nom Dumpling,Nom Nom Dumpling,Tseung Kwan O / Guangdong / Wonton/Dumpling / $51-100,$51-100,192,5,N/A,28902130,11:00 - 22:00,https://www.openrice.com/en/hongkong/r-nom-nom-dumpling-tseung-kwan-o-guangdong-wonton-dumpling-r744954
The Admirals Chinese Restaurant,The Admirals Chinese Restaurant,Tseung Kwan O / Guangdong / Stir-Fry / $101-200,$101-200,188,15,N/A,26261182,08:00 - 16:0017:30 - 22:00,https://www.openrice.com/en/hongkong/r-the-admirals-chinese-restaurant-tseung-kwan-o-guangdong-r759419
Pulau,Pulau,Tseung Kwan O / Singaporean / $51-100,$51-100,90,3,N/A,26190999,11:30 - 22:00,https://www.openrice.com/en/hongkong/r-pulau-tseung-kwan-o-singaporean-r767526
Xia Mian Guan (MCP CENTRAL),Xia Mian Guan (MCP CENTRAL),Tseung Kwan O / Shanghai / Stir-Fry / $51-100,$51-100,130,8,mediaItemThumbnail,23238386,11:30 - 21:30,https://www.openrice.com/en/hongkong/r-xia-mian-guan-tseung-kwan-o-shanghai-r717107
Sandaime,Sandaime,Tseung Kwan O / Japanese / Ramen / $101-200,$101-200,98,1,mediaItemThumbnail,60845782,11:30 - 21:00,https://www.openrice.com/en/hongkong/r-sandaime-tseung-kwan-o-japanese-ramen-r781084
Simply Waffles X Mr. 閔 (新都城中心三期),Simply Waffles X Mr. 閔 (新都城中心三期),Tseung Kwan O / Korean / Korean Fried Chicken / $101-200,$101-200,105,1,"mediaItemThumbnail, Dine and earn miles at this Cathay partner restaurant !",51921110,12:00 - 21:00,https://www.openrice.com/en/hongkong/r-simply-waffles-x-mr-%E9%96%94-tseung-kwan-o-korean-korean-fried-chicken-r784278
The Sixties Restaurant,The Sixties Restaurant,Tseung Kwan O / Hong Kong Style / Tea Restaurant / $51-100,$51-100,67,6,N/A,23223682,07:00 - 22:00,https://www.openrice.com/en/hongkong/r-the-sixties-restaurant-tseung-kwan-o-hong-kong-style-r726686
JACOMAX,JACOMAX,Tseung Kwan O / Italian / Pizza / $101-200,$101-200,72,2,mediaItemThumbnail,29810333,12:00 - 22:00,https://www.openrice.com/en/hongkong/r-jacomax-tseung-kwan-o-italian-pizza-r716974
Katachi Bar & Kushiyaki (MCP DISCOVERY),Katachi Bar & Kushiyaki (MCP DISCOVERY),Tseung Kwan O / Japanese / Wine / $201-400,$201-400,62,1,N/A,93218246,16:30 - 04:00,https://www.openrice.com/en/hongkong/r-katachi-bar-kushiyaki-tseung-kwan-o-japanese-wine-r788698
Golden Phoenix Restaurant (MCP DISCOVERY),Golden Phoenix Restaurant (MCP DISCOVERY),Tseung Kwan O / Hong Kong Style / Western / $101-200,$101-200,66,4,N/A,31109962,11:30 - 21:30,https://www.openrice.com/en/hongkong/r-golden-phoenix-restaurant-tseung-kwan-o-western-r787975
Four Point Gold Restaurant,Four Point Gold Restaurant,Tseung Kwan O / Chiu Chow / Dim Sum / $101-200,$101-200,173,2,mediaItemThumbnail,28826388,08:00 - 22:00,https://www.openrice.com/en/hongkong/r-four-point-gold-restaurant-tseung-kwan-o-chiu-chow-dim-sum-r617372
E-bittern (MCP CENTRAL),E-bittern (MCP CENTRAL),Tseung Kwan O / Taiwan / Noodles/Rice Noodles / Below $50,Below $50,85,4,N/A,28198983,11:00 - 22:30,https://www.openrice.com/en/hongkong/r-e-bittern-tseung-kwan-o-taiwan-noodles-rice-noodles-r779722
蝦魂,蝦魂,Tseung Kwan O / Japanese / Ramen / $51-100,$51-100,78,3,mediaItemThumbnail,65108001,12:00 - 22:00,https://www.openrice.com/en/hongkong/r-%E8%9D%A6%E9%AD%82-tseung-kwan-o-japanese-ramen-r851125
Lok Yuen (MCP DISCOVERY),Lok Yuen (MCP DISCOVERY),Tseung Kwan O / Chiu Chow / Hong Kong Style / Below $50,Below $50,56,0,mediaItemThumbnail,26633108,07:30 - 22:00,https://www.openrice.com/en/hongkong/r-lok-yuen-tseung-kwan-o-hong-kong-style-noodles-rice-noodles-r692636
WM Café & Bar (海之戀商場),WM Café & Bar (海之戀商場),Tsuen Wan / Western / $101-200,$101-200,626,34,N/A,27661112,11:30 - 22:30,https://www.openrice.com/en/hongkong/r-wm-cafe-bar-tsuen-wan-western-r674521
Peko Peko Eatery (OP Mall),Peko Peko Eatery (OP Mall),Tsuen Wan / Western / Yoshoku / $101-200,$101-200,590,32,mediaItemThumbnail,26889128,11:30 - 22:00,https://www.openrice.com/en/hongkong/r-peko-peko-eatery-tsuen-wan-western-r677983
Odelice! (海之戀商場),Odelice! (海之戀商場),Tsuen Wan / French / Western / $201-400,$201-400,495,20,"mediaItemThumbnail, Dine and earn miles at this Cathay partner restaurant !",25202660,11:00 - 22:00,https://www.openrice.com/en/hongkong/r-odelice-tsuen-wan-western-r690990
SOYmart by 豆乳狂人,SOYmart by 豆乳狂人,Tsuen Wan / Hong Kong Style / Dessert / Below $50,Below $50,414,22,mediaItemThumbnail,35425519,11:00 - 22:30,https://www.openrice.com/en/hongkong/r-soymart-by-%E8%B1%86%E4%B9%B3%E7%8B%82%E4%BA%BA-tsuen-wan-hong-kong-style-dessert-r733695
Lao Zhang Gui Dongbei Restaurant (OP Mall),Lao Zhang Gui Dongbei Restaurant (OP Mall),Tsuen Wan / Northeastern / Stir-Fry / $51-100,$51-100,260,43,mediaItemThumbnail,35431618,11:30 - 22:00,https://www.openrice.com/en/hongkong/r-lao-zhang-gui-dongbei-restaurant-tsuen-wan-northeastern-r657130
