Name,Address,Food Type,Price Range,Smile Score,Cry Score,Promotions,Contact,Opening Hours,URL
Chatterbox Café (K11 Musea),Chatterbox Café (K11 Musea),Tsim Sha Tsui / Singaporean / Food Wise Eateries / $101-200,$101-200,559,34,"mediaItemThumbnail, ",23522173,11:00 - 22:00,https://www.openrice.com/en/hongkong/r-chatterbox-cafe-tsim-sha-tsui-singaporean-r642510
Ukiyo,Ukiyo,Tsim Sha Tsui / Western / All Day Breakfast / $201-400,$201-400,327,23,mediaItemThumbnail,27628822,11:30 - 21:30,https://www.openrice.com/en/hongkong/r-ukiyo-tsim-sha-tsui-western-all-day-breakfast-r771697
Glasshouse Greenery (K11 Musea),Glasshouse Greenery (K11 Musea),Tsim Sha Tsui / Western / All Day Breakfast / $201-400,$201-400,252,101,mediaItemThumbnail,21521518,11:00 - 23:00,https://www.openrice.com/en/hongkong/r-glasshouse-greenery-tsim-sha-tsui-western-salad-r673847
Chan．Taiwan Cuisine,Chan．Taiwan Cuisine,Tsim Sha Tsui / Taiwan / Noodles/Rice Noodles / $51-100,$51-100,188,5,mediaItemThumbnail,28186066,11:30 - 21:00,https://www.openrice.com/en/hongkong/r-chan-taiwan-cuisine-tsim-sha-tsui-taiwan-noodles-rice-noodles-r773259
181 FORTNUM & MASON,181 FORTNUM & MASON,Tsim Sha Tsui / Western / $401-800,$401-800,171,19,"mediaItemThumbnail, Dine and earn miles at this Cathay partner restaurant !",39168181,11:00 - 22:00,https://www.openrice.com/en/hongkong/r-181-fortnum-mason-tsim-sha-tsui-western-r661800
TIRPSE,TIRPSE,Tsim Sha Tsui / Japanese / French / Above $801,Above $801,123,13,mediaItemThumbnail,23330031,12:00 - 17:0018:00 - 23:00,https://www.openrice.com/en/hongkong/r-tirpse-tsim-sha-tsui-japanese-fine-dining-r649488
Velo Italian Bar & Grill,Velo Italian Bar & Grill,Tsim Sha Tsui / Italian / Pizza / $401-800,$401-800,185,33,mediaItemThumbnail,3686 0610,11:30 - 22:00,https://www.openrice.com/en/hongkong/r-velo-italian-bar-grill-tsim-sha-tsui-italian-pizza-r633231
Greyhound Café Galleria (K11 Musea),Greyhound Café Galleria (K11 Musea),Tsim Sha Tsui / Thai / $201-400,$201-400,177,40,mediaItemThumbnail,23946600,11:45 - 22:30,https://www.openrice.com/en/hongkong/r-greyhound-cafe-galleria-tsim-sha-tsui-thai-r673840
Yakiniku JIKON by Tominokoji Yamagishi,Yakiniku JIKON by Tominokoji Yamagishi,Tsim Sha Tsui / Japanese / Roast Meat / $401-800,$401-800,82,5,mediaItemThumbnail,28680929,12:00 - 22:00,https://www.openrice.com/en/hongkong/r-yakiniku-jikon-by-tominokoji-yamagishi-tsim-sha-tsui-japanese-roast-meat-r699969
Yè Shanghai,Yè Shanghai,Tsim Sha Tsui / Shanghai / Stir-Fry / $201-400 / Michelin 2024,Michelin 2024,95,25,"mediaItemThumbnail, ",23763322,11:30 - 14:3018:00 - 22:00,https://www.openrice.com/en/hongkong/r-ye-shanghai-tsim-sha-tsui-shanghai-r663490
Takano Ramen (K11 Musea),Takano Ramen (K11 Musea),Tsim Sha Tsui / Japanese / Ramen / $101-200,$101-200,164,35,"mediaItemThumbnail, Dine and earn miles at this Cathay partner restaurant !",28818331,11:30 - 22:00,https://www.openrice.com/en/hongkong/r-takano-ramen-tsim-sha-tsui-japanese-ramen-r640360
THE MUSSELS,THE MUSSELS,Tsim Sha Tsui / French / Western / $201-400,$201-400,100,7,N/A,26861839,12:00 - 21:30,https://www.openrice.com/en/hongkong/r-the-mussels-tsim-sha-tsui-western-seafood-r728985
Coucou Reserve (K11 Musea),Coucou Reserve (K11 Musea),Tsim Sha Tsui / Taiwan / Hot Pot / $201-400,$201-400,90,11,"mediaItemThumbnail, Dine and earn miles at this Cathay partner restaurant !",23523377,11:00 - 23:00,https://www.openrice.com/en/hongkong/r-coucou-reserve-tsim-sha-tsui-taiwan-hot-pot-r679995
Gontran Cherrier (Bakery),Gontran Cherrier (Bakery),Tsim Sha Tsui / French / Bakery / Below $50,Below $50,101,5,mediaItemThumbnail,34682430,09:00 - 21:00,https://www.openrice.com/en/hongkong/r-gontran-cherrier-bakery-tsim-sha-tsui-french-bakery-r703636
Kaiyō,Kaiyō,Tsim Sha Tsui / Japanese / Izakaya / Above $801,Above $801,177,50,N/A,36898460,11:30 - 23:00,https://www.openrice.com/en/hongkong/r-kaiy-tsim-sha-tsui-japanese-r633238
